"geography","mobility_type_desc","coefficient","standard_error","p_value"
"New Zealand","Constant","-2.05",NA,NA
"New Zealand","N",NA,"107.00",NA
"New Zealand","R2",NA,"0.88",NA
"Norway","Workplace","0.05","0.05","0.33"
"Norway","Transit","-0.00","0.05","0.94"
"Norway","Residential","0.12","0.17","0.47"
"Norway","Retail Recreation","0.00","0.04","0.93"
"Norway","Grocery Pharmacy","-0.04","0.02","0.03"
"Norway","Parks","-0.01","0.01","0.11"
"Norway","Constant","2.35",NA,NA
"Norway","N",NA,"104.00",NA
"Norway","R2",NA,"0.13",NA
"Canada: Ontario","Workplace","0.12","0.07","0.08"
"Canada: Ontario","Transit","-0.14","0.09","0.14"
"Canada: Ontario","Residential","-0.09","0.14","0.54"
"Canada: Ontario","Retail Recreation","0.17","0.09","0.07"
"Canada: Ontario","Grocery Pharmacy","-0.06","0.05","0.28"
"Canada: Ontario","Parks","-0.02","0.01","0.02"
"Canada: Ontario","Constant","-0.04",NA,NA
"Canada: Ontario","N",NA,"107.00",NA
"Canada: Ontario","R2",NA,"0.51",NA
"Poland","Workplace","0.09","0.09","0.32"
"Poland","Transit","0.11","0.06","0.05"
"Poland","Residential","0.18","0.23","0.43"
"Poland","Retail Recreation","0.03","0.04","0.53"
"Poland","Grocery Pharmacy","-0.01","0.02","0.71"
"Poland","Parks","-0.01","0.01","0.37"
"Poland","Constant","-0.13",NA,NA
"Poland","N",NA,"107.00",NA
"Poland","R2",NA,"0.69",NA
"Portugal","Workplace","0.05","0.10","0.62"
"Portugal","Transit","0.11","0.07","0.14"
"Portugal","Residential","-0.03","0.19","0.88"
"Portugal","Retail Recreation","0.08","0.08","0.30"
"Portugal","Grocery Pharmacy","0.00","0.04","0.98"
"Portugal","Parks","-0.09","0.02","0.00"
"Portugal","Constant","0.26",NA,NA
"Portugal","N",NA,"107.00",NA
"Portugal","R2",NA,"0.75",NA
"US: California","Workplace","0.07","0.09","0.42"
"US: California","Transit","-0.37","0.10","0.00"
"US: California","Residential","-0.54","0.18","0.00"
"US: California","Retail Recreation","0.13","0.05","0.01"
"US: California","Grocery Pharmacy","0.18","0.03","0.00"
"US: California","Parks","0.06","0.04","0.11"
"US: California","Constant","-0.98",NA,NA
"US: California","N",NA,"107.00",NA
"US: California","R2",NA,"0.71",NA
"US: Carolinas","Workplace","0.26","0.20","0.18"
"US: Carolinas","Transit","0.20","0.14","0.15"
"US: Carolinas","Residential","0.21","0.32","0.51"
"US: Carolinas","Retail Recreation","-0.15","0.11","0.19"
"US: Carolinas","Grocery Pharmacy","-0.08","0.09","0.35"
"US: Carolinas","Parks","0.00","0.02","0.97"
"US: Carolinas","Constant","0.47",NA,NA
"US: Carolinas","N",NA,"107.00",NA
"US: Carolinas","R2",NA,"0.59",NA
"US: Central","Workplace","0.11","0.09","0.19"
"US: Central","Transit","0.39","0.13","0.00"
"US: Central","Residential","0.09","0.22","0.68"
"US: Central","Retail Recreation","-0.19","0.07","0.01"
"US: Central","Grocery Pharmacy","-0.08","0.06","0.17"
"US: Central","Parks","-0.05","0.01","0.00"
"US: Central","Constant","1.67",NA,NA
"US: Central","N",NA,"106.00",NA
"US: Central","R2",NA,"0.54",NA
"US: Florida","Workplace","0.08","0.08","0.29"
"US: Florida","Transit","0.07","0.06","0.23"
"US: Florida","Residential","0.03","0.17","0.88"
"US: Florida","Retail Recreation","-0.52","0.08","0.00"
"US: Florida","Grocery Pharmacy","0.18","0.06","0.00"
"US: Florida","Parks","0.24","0.05","0.00"
"US: Florida","Constant","0.19",NA,NA
"US: Florida","N",NA,"107.00",NA
"US: Florida","R2",NA,"0.40",NA
"US: Mid-Atlantic","Workplace","-0.04","0.15","0.80"
"US: Mid-Atlantic","Transit","0.29","0.13","0.02"
"US: Mid-Atlantic","Residential","-0.23","0.23","0.31"
"US: Mid-Atlantic","Retail Recreation","-0.21","0.07","0.00"
"US: Mid-Atlantic","Grocery Pharmacy","0.07","0.04","0.07"
"US: Mid-Atlantic","Parks","-0.00","0.01","1.00"
"US: Mid-Atlantic","Constant","1.92",NA,NA
"US: Mid-Atlantic","N",NA,"101.00",NA
"US: Mid-Atlantic","R2",NA,"0.71",NA
"US: Midwest","Workplace","-0.22","0.18","0.21"
"US: Midwest","Transit","0.50","0.13","0.00"
"US: Midwest","Residential","-0.49","0.31","0.12"
"US: Midwest","Retail Recreation","-0.24","0.08","0.00"
"US: Midwest","Grocery Pharmacy","-0.02","0.05","0.73"
"US: Midwest","Parks","-0.05","0.01","0.00"
"US: Midwest","Constant","2.05",NA,NA
"US: Midwest","N",NA,"106.00",NA
"US: Midwest","R2",NA,"0.66",NA
"US: New England","Workplace","0.15","0.16","0.35"
"US: New England","Transit","-0.07","0.09","0.44"
"US: New England","Residential","-0.08","0.27","0.77"
"US: New England","Retail Recreation","-0.01","0.09","0.92"
"US: New England","Grocery Pharmacy","0.01","0.07","0.92"
"US: New England","Parks","-0.05","0.01","0.00"
"US: New England","Constant","0.58",NA,NA
"US: New England","N",NA,"107.00",NA
"US: New England","R2",NA,"0.42",NA
"US: Northwest","Workplace","0.02","0.07","0.81"
"US: Northwest","Transit","-0.17","0.08","0.04"
"US: Northwest","Residential","-0.12","0.14","0.39"
"US: Northwest","Retail Recreation","0.09","0.07","0.17"
"US: Northwest","Grocery Pharmacy","0.21","0.05","0.00"
"US: Northwest","Parks","-0.04","0.02","0.02"
"US: Northwest","Constant","0.92",NA,NA
"US: Northwest","N",NA,"102.00",NA
"US: Northwest","R2",NA,"0.33",NA
"US: New York","Workplace","-0.01","0.09","0.92"
"US: New York","Transit","0.02","0.08","0.84"
"US: New York","Residential","-0.37","0.14","0.01"
"US: New York","Retail Recreation","0.00","0.06","0.95"
"US: New York","Grocery Pharmacy","-0.00","0.03","0.90"
"US: New York","Parks","-0.05","0.01","0.00"
"US: New York","Constant","0.55",NA,NA
"US: New York","N",NA,"107.00",NA
"US: New York","R2",NA,"0.80",NA
"US: Southeast","Workplace","-0.01","0.06","0.87"
"US: Southeast","Transit","0.29","0.07","0.00"
"US: Southeast","Residential","-0.08","0.13","0.53"
"US: Southeast","Retail Recreation","-0.18","0.06","0.00"
"US: Southeast","Grocery Pharmacy","-0.04","0.05","0.40"
"US: Southeast","Parks","0.01","0.01","0.53"
"US: Southeast","Constant","1.18",NA,NA
"US: Southeast","N",NA,"107.00",NA
"US: Southeast","R2",NA,"0.60",NA
"US: Southwest","Workplace","0.00","0.13","1.00"
"US: Southwest","Transit","-0.23","0.12","0.06"
"US: Southwest","Residential","-0.47","0.25","0.06"
"US: Southwest","Retail Recreation","-0.18","0.09","0.05"
"US: Southwest","Grocery Pharmacy","0.20","0.05","0.00"
"US: Southwest","Parks","0.20","0.04","0.00"
"US: Southwest","Constant","-1.86",NA,NA
"US: Southwest","N",NA,"107.00",NA
"US: Southwest","R2",NA,"0.38",NA
"US: Tennessee","Workplace","0.03","0.19","0.87"
"US: Tennessee","Transit","0.42","0.18","0.02"
"US: Tennessee","Residential","-0.20","0.32","0.53"
"US: Tennessee","Retail Recreation","-0.25","0.09","0.01"
"US: Tennessee","Grocery Pharmacy","0.00","0.06","0.98"
"US: Tennessee","Parks","-0.03","0.02","0.07"
"US: Tennessee","Constant","0.69",NA,NA
"US: Tennessee","N",NA,"107.00",NA
"US: Tennessee","R2",NA,"0.60",NA
"US: Texas","Workplace","-0.14","0.05","0.00"
