"country","variable","coefficient","p_value","standard_error"
"US: Northwest","CI 1 early","1.155","0.01","0.45"
"US: Northwest","CI 1 late","-","-","-"
"US: Northwest","CI 2 early","-1.287","0.24","1.095"
"US: Northwest","CI 2 late","-0.852","0.158","0.603"
"US: Northwest","CI 3","-2.439","0","0.651"
"US: Northwest","const","-","-","-"
"US: Northwest","N","-","107","-"
"US: Northwest","R2","-","0.122","-"
"US: New York","CI 1 early","-1.182","0.001","0.338"
"US: New York","CI 1 late","-","-","-"
"US: New York","CI 2 early","-","-","-"
"US: New York","CI 2 late","-7.274","0","0.67"
"US: New York","CI 3","-6.395","0","0.478"
"US: New York","const","-","-","-"
"US: New York","N","-","107","-"
"US: New York","R2","-","0.652","-"
"US: South East","CI 1 early","-2.02","0","0.499"
"US: South East","CI 1 late","-","-","-"
"US: South East","CI 2 early","-2.789","0.038","1.347"
"US: South East","CI 2 late","-3.104","0","0.748"
"US: South East","CI 3","-3.861","0","0.675"
"US: South East","const","-","-","-"
"US: South East","N","-","107","-"
"US: South East","R2","-","0.174","-"
"US: Southwest","CI 1 early","2.832","0","0.566"
"US: Southwest","CI 1 late","-","-","-"
"US: Southwest","CI 2 early","-7.581","0","0.995"
"US: Southwest","CI 2 late","2.628","0.01","1.02"
"US: Southwest","CI 3","-3.662","0","0.771"
"US: Southwest","const","-","-","-"
"US: Southwest","N","-","107","-"
"US: Southwest","R2","-","0.313","-"
"US: Tennessee","CI 1 early","-3.549","0","0.75"
"US: Tennessee","CI 1 late","-","-","-"
"US: Tennessee","CI 2 early","-2.264","0.169","1.647"
"US: Tennessee","CI 2 late","-6.619","0","1.22"
"US: Tennessee","CI 3","-4.818","0","0.934"
"US: Tennessee","const","-","-","-"
"US: Tennessee","N","-","107","-"
"US: Tennessee","R2","-","0.195","-"
"US: Texas","CI 1 early","-1.919","0","0.398"
"US: Texas","CI 1 late","-","-","-"
"US: Texas","CI 2 early","-0.652","0.243","0.558"
"US: Texas","CI 2 late","-5.119","0","0.563"
"US: Texas","CI 3","-3.735","0","0.564"
"US: Texas","const","-","-","-"
"US: Texas","N","-","107","-"
"US: Texas","R2","-","0.426","-"
"Romania","CI 1 early","1.986","0.008","0.75"
"Romania","CI 1 late","-","-","-"
"Romania","CI 2 early","-2.051","0.038","0.99"
"Romania","CI 2 late","-5.376","0","0.552"
"Romania","CI 3","-8.758","0","0.617"
"Romania","const","-0.858","0.028","0.391"
"Romania","N","-","107","-"
"Romania","R2","-","0.677","-"
"Russia","CI 1 early","0.387","0.056","0.202"
"Russia","CI 1 late","-","-","-"
"Russia","CI 2 early","-0.821","0.019","0.35"
"Russia","CI 2 late","-7.14","0","0.256"
"Russia","CI 3","-4.762","0","0.33"
"Russia","const","-","-","-"
"Russia","N","-","107","-"
"Russia","R2","-","0.806","-"
"Serbia","CI 1 early","-","-","-"
"Serbia","CI 1 late","-","-","-"
"Serbia","CI 2 early","-","-","-"
"Serbia","CI 2 late","-","-","-"
"Serbia","CI 3","-","-","-"
"Serbia","const","-2.339","0","0.431"
"Serbia","N","-","107","-"
"Serbia","R2","-","0","-"
"Singapore","CI 1 early","-","-","-"
"Singapore","CI 1 late","-","-","-"
