"geography","mobility_type_desc","coefficient","standard_error","p_value","R2","N"
"US: Carolinas","Parks","0.03","0.02","0.22","0.01","107.00"
"US: Central","Workplace","0.17","0.02","0.00","0.41","106.00"
"US: Central","Transit","0.17","0.03","0.00","0.24","106.00"
"US: Central","Residential","-0.38","0.05","0.00","0.31","106.00"
"US: Central","Retail Recreation","0.11","0.02","0.00","0.16","106.00"
"US: Central","Grocery Pharmacy","0.12","0.04","0.00","0.06","106.00"
"US: Central","Parks","-0.05","0.01","0.00","0.11","106.00"
"US: Florida","Workplace","0.01","0.02","0.56","0.00","107.00"
"US: Florida","Transit","0.00","0.02","0.93","0.00","107.00"
"US: Florida","Residential","-0.03","0.06","0.59","0.00","107.00"
"US: Florida","Retail Recreation","-0.00","0.02","0.91","0.00","107.00"
"US: Florida","Grocery Pharmacy","0.06","0.03","0.04","0.04","107.00"
"US: Florida","Parks","0.03","0.02","0.12","0.02","107.00"
"US: Mid-Atlantic","Workplace","0.17","0.01","0.00","0.69","101.00"
"US: Mid-Atlantic","Transit","0.17","0.01","0.00","0.65","101.00"
"US: Mid-Atlantic","Residential","-0.41","0.03","0.00","0.68","101.00"
"US: Mid-Atlantic","Retail Recreation","0.16","0.01","0.00","0.54","101.00"
"US: Mid-Atlantic","Grocery Pharmacy","0.25","0.04","0.00","0.38","101.00"
"US: Mid-Atlantic","Parks","0.02","0.01","0.16","0.03","101.00"
"US: Midwest","Workplace","0.19","0.02","0.00","0.54","106.00"
"US: Midwest","Transit","0.20","0.02","0.00","0.54","106.00"
"US: Midwest","Residential","-0.45","0.04","0.00","0.48","106.00"
"US: Midwest","Retail Recreation","0.17","0.02","0.00","0.41","106.00"
"US: Midwest","Grocery Pharmacy","0.21","0.04","0.00","0.19","106.00"
"US: Midwest","Parks","-0.03","0.01","0.01","0.05","106.00"
"US: New England","Workplace","0.08","0.01","0.00","0.18","107.00"
"US: New England","Transit","0.05","0.01","0.00","0.12","107.00"
"US: New England","Residential","-0.16","0.04","0.00","0.13","107.00"
"US: New England","Retail Recreation","0.05","0.02","0.00","0.07","107.00"
"US: New England","Grocery Pharmacy","0.06","0.04","0.07","0.04","107.00"
"US: New England","Parks","-0.04","0.01","0.00","0.16","107.00"
"US: Northwest","Workplace","0.06","0.02","0.00","0.14","102.00"
"US: Northwest","Transit","0.06","0.02","0.00","0.13","102.00"
"US: Northwest","Residential","-0.15","0.04","0.00","0.12","102.00"
"US: Northwest","Retail Recreation","0.07","0.02","0.00","0.15","102.00"
"US: Northwest","Grocery Pharmacy","0.15","0.03","0.00","0.25","102.00"
"US: Northwest","Parks","0.00","0.01","0.90","0.00","102.00"
"US: New York","Workplace","0.13","0.01","0.00","0.68","107.00"
"US: New York","Transit","0.12","0.01","0.00","0.65","107.00"
"US: New York","Residential","-0.30","0.02","0.00","0.64","107.00"
"US: New York","Retail Recreation","0.11","0.01","0.00","0.58","107.00"
"US: New York","Grocery Pharmacy","0.14","0.03","0.00","0.25","107.00"
"US: New York","Parks","0.01","0.01","0.35","0.01","107.00"
"US: Southeast","Workplace","0.16","0.01","0.00","0.52","107.00"
"US: Southeast","Transit","0.15","0.01","0.00","0.52","107.00"
"US: Southeast","Residential","-0.39","0.04","0.00","0.47","107.00"
"US: Southeast","Retail Recreation","0.14","0.02","0.00","0.35","107.00"
"US: Southeast","Grocery Pharmacy","0.15","0.04","0.00","0.13","107.00"
"US: Southeast","Parks","0.03","0.01","0.02","0.04","107.00"
"US: Southwest","Workplace","0.00","0.02","0.86","0.00","107.00"
"US: Southwest","Transit","-0.00","0.02","0.94","0.00","107.00"
"US: Southwest","Residential","-0.05","0.05","0.30","0.01","107.00"
"US: Southwest","Retail Recreation","-0.01","0.02","0.76","0.00","107.00"
"US: Southwest","Grocery Pharmacy","0.06","0.03","0.05","0.02","107.00"
"US: Southwest","Parks","0.06","0.02","0.01","0.05","107.00"
"US: Tennessee","Workplace","0.23","0.02","0.00","0.55","107.00"
"US: Tennessee","Transit","0.24","0.03","0.00","0.45","107.00"
"US: Tennessee","Residential","-0.57","0.05","0.00","0.46","107.00"
"US: Tennessee","Retail Recreation","0.17","0.03","0.00","0.28","107.00"
"US: Tennessee","Grocery Pharmacy","0.22","0.06","0.00","0.13","107.00"
"US: Tennessee","Parks","0.01","0.01","0.37","0.01","107.00"
"US: Texas","Workplace","0.11","0.01","0.00","0.40","107.00"
"US: Texas","Transit","0.11","0.01","0.00","0.43","107.00"
"US: Texas","Residential","-0.24","0.03","0.00","0.35","107.00"
"US: Texas","Retail Recreation","0.09","0.01","0.00","0.26","107.00"
"US: Texas","Grocery Pharmacy","0.12","0.03","0.00","0.17","107.00"
"US: Texas","Parks","0.02","0.01","0.09","0.02","107.00"
"Romania","Workplace","0.17","0.02","0.00","0.61","107.00"
"Romania","Transit","0.14","0.01","0.00","0.65","107.00"
"Romania","Residential","-0.47","0.04","0.00","0.61","107.00"
"Romania","Retail Recreation","0.14","0.01","0.00","0.60","107.00"
"Romania","Grocery Pharmacy","0.17","0.02","0.00","0.50","107.00"
"Romania","Parks","0.15","0.01","0.00","0.50","107.00"
"Russia","Workplace","0.09","0.01","0.00","0.41","107.00"
"Russia","Transit","0.10","0.01","0.00","0.55","107.00"
"Russia","Residential","-0.24","0.03","0.00","0.28","107.00"
"Russia","Retail Recreation","0.10","0.01","0.00","0.53","107.00"
"Russia","Grocery Pharmacy","0.14","0.01","0.00","0.37","107.00"
"Russia","Parks","0.04","0.01","0.01","0.06","107.00"
"Slovakia","Workplace","0.17","0.03","0.00","0.35","107.00"
"Slovakia","Transit","0.17","0.01","0.00","0.54","107.00"
"Slovakia","Residential","-0.37","0.06","0.00","0.28","107.00"
