"date","geography","percent_red","percent_red_upper","percent_red_lower","week_2020","grocery_pharmacy","workplace","residential"
2020-03-11,"Austria",-0.121697823824678,-0.0847706106104829,-0.155760762250382,11,-0.375714285714286,-0.574285714285714,0.230147058823529
2020-03-18,"Austria",-0.129718165766963,-0.0935131864163934,-0.163142171442786,12,-0.350579710144928,-0.568571428571429,0.229565217391304
2020-03-25,"Austria",-0.0897160760360364,-0.0478553244164096,-0.128051047054866,13,-0.316811594202899,-0.548,0.209275362318841
2020-04-01,"Austria",-0.098832259194349,-0.0500430774308704,-0.142854695441978,14,-0.351159420289855,-0.583428571428571,0.207971014492754
2020-04-08,"Austria",-0.121941693626636,-0.0800492062625363,-0.160184978398102,15,-0.248358208955224,-0.463285714285714,0.168840579710145
2020-04-15,"Austria",-0.124603913435188,-0.0823111846759787,-0.163170164499228,16,-0.226666666666667,-0.426428571428571,0.148985507246377
2020-04-22,"Austria",-0.104080079760285,-0.0555596847234373,-0.147858638166379,17,-0.196363636363636,-0.430285714285714,0.141857142857143
2020-04-29,"Austria",-0.101448326606721,-0.0577501317872034,-0.141273026863834,18,-0.0940579710144928,-0.315,0.0962857142857143
2020-05-06,"Austria",-0.106254823120863,-0.0629981314483754,-0.145693866163951,19,-0.115072463768116,-0.264428571428571,0.0852857142857143
2020-05-13,"Austria",-0.0912846247334262,-0.0410982460706531,-0.136479025942628,20,-0.154782608695652,-0.333857142857143,0.0882857142857143
2020-05-20,"Austria",-0.0773980003203643,-0.0265817078145015,-0.123171901907901,21,-0.15463768115942,-0.292714285714286,0.0685714285714286
2020-05-27,"Austria",-0.100945417298647,-0.0567365126718875,-0.141195877589705,22,-0.0581159420289855,-0.178428571428571,0.0431428571428571
2020-02-19,"Belgium",-0.0223564663992482,0.0164753388838683,-0.0583305082153389,8,0.0178571428571429,-0.0910714285714286,0.0203571428571429
2020-02-26,"Belgium",-0.0102579163709389,0.0321709703171852,-0.0493363272259273,9,0.0235714285714286,0.0110714285714286,0.00642857142857143
2020-03-04,"Belgium",-0.0303117250679091,0.0120318249162536,-0.0692542543758622,10,0.104285714285714,-0.218214285714286,0.0871428571428571
2020-03-11,"Belgium",-0.101071365887037,-0.0626053706923975,-0.13650489363876,11,-0.296071428571429,-0.6,0.248214285714286
2020-03-18,"Belgium",-0.144718743067035,-0.108511152076934,-0.178100000807776,12,-0.345357142857143,-0.638571428571429,0.265
2020-03-25,"Belgium",-0.118396247588947,-0.0778870170321989,-0.155496045582755,13,-0.31,-0.627142857142857,0.260357142857143
2020-04-01,"Belgium",-0.0955970567186684,-0.0498154523529472,-0.137169772470929,14,-0.329642857142857,-0.649285714285714,0.261785714285714
2020-04-08,"Belgium",-0.115578118619377,-0.0736754372879023,-0.153853893739384,15,-0.303928571428571,-0.591071428571429,0.248214285714286
2020-04-15,"Belgium",-0.104991229330464,-0.0625280876305816,-0.143774293671063,16,-0.279642857142857,-0.550357142857143,0.228928571428571
2020-04-22,"Belgium",-0.0883116207906668,-0.0406892666286473,-0.131429428138184,17,-0.283214285714286,-0.555714285714286,0.234642857142857
2020-04-29,"Belgium",-0.0803402340550699,-0.0364049643682973,-0.120443742231028,18,-0.192857142857143,-0.448928571428571,0.189285714285714
2020-05-06,"Belgium",-0.0591171218141364,-0.0142011735102562,-0.100118422804572,19,-0.123214285714286,-0.390714285714286,0.164285714285714
2020-05-13,"Belgium",-0.0346511135131271,0.0177145444799925,-0.0818916189602698,20,-0.139642857142857,-0.431785714285714,0.162857142857143
2020-05-20,"Belgium",-0.0358062727893829,0.0179801775940027,-0.084194192990309,21,-0.0857142857142857,-0.35,0.135714285714286
2020-05-27,"Belgium",-0.0348269393404991,0.0117955149944888,-0.0773420309677373,22,-0.0810714285714286,-0.280714285714286,0.126785714285714
